<Trait>	BLUE_Yield	BLUE_DTS	BLUE_DTA	BLUE_PH	BLUE_EH
PI601009xPI601360	6.5523	65.0332	63.5509	204.7377	99.6804
PI601009xAmes27089	6.135	70.3555	69.5058	209.9833	99.6956
PI601009xNSL28967	5.9762	67.2974	64.2852	207.8596	99.733
PI601009xPI601172	8.4517	68.2864	67.6118	219.4684	99.7558
PI601009xEP52	6.8935	66.8131	64.3297	220.3312	99.7657
PI601009xAmes27066	6.1112	67.8664	65.52	217.5604	99.8306
PI601009xNSL29305	7.4884	65.7845	64.041	220.8096	99.8601
PI601009xPI550521	6.4651	68.6786	66.7051	222.1608	99.9371
PI601322xPI601683	6.4936	65.7568	62.9048	222.7406	99.9522
PI601009xEP47	-999	65.9504	63.8747	220.0434	99.9556
PI601322xPI601584	6.3215	65.945	63.7903	224.5152	100.0478
PI601322xPI524969	6.9644	66.4164	63.8296	225.72	100.0736
PI601009xAmes26772	5.8211	67.6157	64.8907	220.1292	100.0773
PI601009xPI533659	5.3587	67.0616	65.2431	201.5667	100.1504
PI601322xPI593460	7.1282	65.782	63.7475	225.1292	100.167
PI601009xPI601500	6.7165	68.4598	66.9772	213.594	100.2246
PI601009xNSL437959	6.3052	67.9155	66.3918	212.855	100.2515
PI601009xAmes15929	5.9993	67.1048	65.0153	210.7121	100.2576
PI601322xAmes24736	6.2202	67.3684	64.1598	230.053	100.2797
PI601009xPI587149	7.2289	66.282	64.4005	225.3509	100.3122
PI601322xPI587151	7.1029	68.2102	65.4115	222.8289	100.3179
PI601009xPI594081	7.1203	67.4773	66.6721	210.92	100.3359
PI601009xNSL30871	6.5136	68.3245	65.6935	213.1799	100.3541
PI601009xPI200191	6.4545	67.5547	65.3125	219.854	100.3592
PI601009xPI601006	6.4511	65.7175	64.2197	205.9977	100.3794
PI601322xPI644101	7.4859	69.2431	67.4473	222.4391	100.3859
PI601322xM14	7.8687	67.8058	65.1864	223.3145	100.3979
PI601009xB68	6.5464	68.8555	68.0006	215.5218	100.4185
PI601009xAmes24746	5.2321	68.5385	67.6322	204.9669	100.432
PI601009xAmes20120	7.2483	66.7899	64.8817	221.1709	100.4796
PI601009xNSL438033	7.1139	66.886	64.9172	217.5558	100.5781
PI601322xNSL437931	6.5425	70.0831	66.2023	215.5481	100.5808
PI601009xNSL81600	6.3122	66.9943	64.9599	209.117	100.5981
PI601009xAmes23456	6.9686	65.5914	64.5899	217.3456	100.6424
PI601009xPI596629	6.2096	69.8449	66.8509	217.987	100.6688
PI601322xPI601493	6.5325	65.2086	62.7006	226.8353	100.6857
PI601009xAmes24729	6.4138	65.8293	63.7561	216.5682	100.6967
PI601009xNSL30872	6.8361	67.3132	64.9658	215.4511	100.7164
PI601009xB57	6.8145	66.9172	65.8457	208.3346	100.7481
PI601009xPI520771	6.1964	67.6738	66.2388	219.9604	100.817
PI601009xPI604605	7.2467	67.5642	65.3007	212.2175	100.8187
PI601009xNSL437983	6.1731	68.4597	66.3591	207.379	100.8352
PI601009xAmes19006	6.6607	69.0014	66.5952	214.5703	100.8612
PI601322xAmes2332	7.584	67.1411	64.4428	217.1467	100.8745
PI601009xPI587151	7.4161	68.9001	66.2904	213.7093	100.9262
PI601009xPI542715	4.3313	69.3327	66.8981	215.5235	101.0079
PI601009xAmes24723	5.3313	64.3838	63.0468	214.162	101.0685
PI601009xPI608777	6.2255	66.2648	64.789	209.8557	101.0714
PI601322xMo47	7.0036	68.2689	65.5507	220.7515	101.0939
PI601009xNSL438023	6.2884	68.7991	67.432	209.1168	101.0966
PI601009xPI340862	5.6449	66.4123	65.2045	210.2994	101.1092
PI601009xB77	7.4154	67.5715	66.5839	225.7189	101.1129
PI601009xPI561565	7.4632	68.1933	66.2105	220.5818	101.1257
PI601009xA679	6.9522	66.3588	65.3117	213.9727	101.1338
PI601009xAmes28935	6.544	72.5396	70.4671	225.6928	101.1357
PI601322xPI538242	5.5319	66.0183	63.6002	229.0263	101.1632
PI601009xPI600751	7.2805	68.0756	65.3209	217.3717	101.1677
PI601009xA632	5.8059	66.7449	65.7904	217.3807	101.1728
PI601009xNSL437903	6.2671	66.8687	64.8056	217.9028	101.1855
PI601322xEP71	5.907	65.9762	63.0147	215.7091	101.2301
PI601009xPI601361	7.671	65.9256	64.581	218.179	101.238
PI601322xPI538011	6.6967	65.7962	64.0766	221.1329	101.2621
PI601322xNSL81595	6.4737	65.3516	64.686	218.3241	101.2834
PI601009xPI527700	7.3365	65.7849	64.0143	229.4785	101.2843
PI601009xNSL34374	7.1058	66.3999	63.8363	223.3217	101.2848
PI601009xNSL437910	6.3992	67.9823	66.9341	217.7871	101.2946
PI601009xPI560075	6.9361	68.3052	66.4361	224.6214	101.2961
PI601009xNSL438009	7.1314	68.2381	66.9793	225.4469	101.3068
PI601009xAmes19328	7.1417	68.9975	66.6791	217.2078	101.3457
PI601009xAmes24735	6.982	66.6685	64.7968	223.6508	101.3466
PI601322xA659	5.9864	66.4628	63.9715	235.9768	101.3467
PI601009xPI564717	6.4963	67.7742	66.3399	208.7375	101.3741
PI601009xAmes27069	6.3637	66.0052	64.1201	216.1935	101.3839
PI601009xEP44	-999	65.5721	63.3289	209.7019	101.4025
PI601009xAmes26751	6.6	68.5175	66.7314	211.8394	101.4161
PI601322xA554	5.9219	65.7511	63.5212	228.1646	101.4245
PI601009xPI596500	6.4674	65.9989	64.6222	212.6493	101.4292
PI601322xPI539926	7.6934	68.0381	66.2124	226.8231	101.4367
PI601009xAmes26779	6.4441	68.9164	66.0598	210.8719	101.5387
PI601322xAmes27120	4.8144	69.2594	65.9268	242.3866	101.6119
PI601009xNSL437934	7.0442	69.8145	68.1674	223.5723	101.6142
PI601009xAmes27065	6.6638	68.2378	66.1369	215.1104	101.6554
PI601009xNSL30895	6.5076	67.1999	65.7563	214.8713	101.6619
PI601322xNSL30058	-999	66.0148	63.5583	225.0963	101.6698
PI601009xNSL32731	7.4038	65.1765	63.5785	215.7749	101.7041
PI601322xPI594063	-999	68.595	66.1112	219.4365	101.7887
PI601322xPI553062	4.9133	67.4833	64.0892	227.5148	101.7939
PI601009xPI198894	5.6984	67.2764	64.6071	222.9713	101.8036
PI601009xNSL242484	7.0259	67.8668	65.8952	222.3949	101.8092
PI601322xAmes19016	6.0184	68.8524	65.345	222.7784	101.8746
PI601009xPI406107	8.0214	68.3521	66.5829	226.3514	101.8986
PI601009xB73	6.7465	67.9124	66.4157	216.8398	101.91
PI601009xAmes27193	7.3071	67.7485	65.7938	221.0201	101.963
PI601009xNSL437893	-999	67.827	65.6938	213.2844	101.9713
PI601322xEA2841	5.3498	69.174	64.1161	220.1058	101.9898
PI601009xPI340839	3.1338	67.9992	66.6553	191.2559	102.0692
PI601009xNSL32734	6.0023	65.8882	64.0427	208.9363	102.096
PI601322xAmes27141	7.1066	70.5798	66.1896	225.6914	102.1022
PI601009xPI601561	7.5704	68.2462	66.8295	215.4549	102.1268
PI601009xNSL437905	5.7964	69.4739	67.877	225.431	102.1904
PI601009xNSL22630	6.1583	67.2469	65.8593	214.6794	102.2397
PI601009xNSL65874	6.1012	66.6628	65.0155	227.6438	102.2611
PI601322xPI538236	5.5541	65.7626	63.1074	219.6505	102.2735
PI601009xPI601489	6.487	67.6357	65.6148	210.9486	102.4223
PI601322xB103	6.2309	66.2127	64.2319	215.8261	102.4358
PI601009xNSL30902	6.229	66.0304	64.5216	212.0044	102.4397
PI601009xAmes2329	5.5857	68.6485	67.7704	212.6247	102.4437
PI601009xPI186228	5.5686	65.3084	63.2041	210.7167	102.4656
PI601009xNSL30890	6.1881	69.2637	66.4825	220.5113	102.4706
PI601009x33-16	6.0197	69.3997	67.5996	218.3001	102.5301
PI601009xAmes26794	6.4189	68.4064	66.9983	234.8912	102.5443
PI601009xB115	6.8624	68.7861	66.2012	222.7097	102.5847
PI601322xAmes23494	6.5435	67.0188	64.6789	248.0029	102.6109
PI601009xPI584528	6.7191	66.9767	64.4222	222.2662	102.6156
PI601322xAmes19326	5.9498	66.9914	64.5726	218.1956	102.6266
PI601009xPI601729	5.2743	68.1634	66.6711	214.8532	102.6538
PI601322xEP52	6.8921	67.7253	65.8883	234.0428	102.6956
PI601009xAmes27133	6.954	72.6793	69.4689	223.7614	102.7203
PI601009xPI568158	5.8614	69.4577	67.158	215.8375	102.7311
PI601009xAmes24720	6.2178	66.0219	64.197	224.1225	102.7754
PI601009xAmes23480	5.8049	67.3178	65.3262	211.87	102.9232
PI601009xEP64	5.8528	66.0267	63.9426	206.9918	102.9484
PI601009xAmes28982	4.2982	65.4298	63.7044	214.6077	102.9802
PI601322xPI601374	6.4746	65.8835	63.6404	223.1407	102.9814
PI601009xPI601791	7.7771	66.2741	64.4999	222.9785	103.0013
PI601009xNC264	7.5751	69.3984	67.2509	206.8353	103.0312
PI601009xCIze82	6.2678	66.7698	64.8335	223.1833	103.0381
PI601009xAmes29008	2.9364	66.9882	65.9881	217.3551	103.0518
PI601009xAmes2335	6.8891	65.6335	64.2073	204.696	103.08
PI601322xH84	7.9068	69.1868	65.9231	231.9435	103.1168
PI601009xPI340860	4.712	67.196	65.4839	214.6328	103.1551
PI601322xEP2008-04	-999	64.9594	61.9591	221.2379	103.1678
PI601009xPI601301	6.5232	68.0074	67.1112	211.9488	103.1938
PI601322xAmes19288	7.5592	66.9959	64.3781	231.6772	103.1941
PI601322xPI538009	7.3194	66.8088	64.895	232.1925	103.2216
PI601009xNSL30896	7.1184	66.2119	64.8093	211.4989	103.2405
PI601322xPI601375	6.553	65.3665	63.2264	224.7349	103.2695
PI601009xAmes26802	6.7565	66.9037	65.5954	209.1596	103.2981
PI601009xNSL437995	6.2363	67.0414	66.2948	222.3393	103.3236
PI601322xPI601789	7.5781	66.1725	64.4599	237.1982	103.3434
PI601009xAmes24750	6.3183	67.7596	65.1516	219.8721	103.3575
PI601009xPI221804	5.9019	66.2939	64.8813	203.4178	103.3627
PI601322xPI601037	7.0319	67.3941	64.6684	230.7493	103.4036
PI601009xPI517971	6.3684	66.4514	63.9637	210.9347	103.4203
PI601009xAmes24710	6.9549	66.5009	64.5602	213.5225	103.549
PI601009xPI601774	8.4099	67.7602	65.8912	217.8426	103.5825
PI601009xAmes26134	6.7377	67.9004	65.3781	224.1437	103.6319
PI601009xPI594075	7.4756	68.1913	66.4252	224.9809	103.6759
PI601009xNSL30046	7.008	67.525	65.2216	220.95	103.6769
PI601009xPI340866	4.5967	66.937	65.1029	212.6419	103.6837
PI601009xEA2024	6.5598	65.8662	63.7935	210.2082	103.6891
PI601322xAmes19014	5.1526	69.0848	64.6808	225.6596	103.7181
PI601009xPI531083	7.1579	68.9631	67.7791	236.1718	103.7263
PI601009xNSL32736	6.6579	65.1136	63.2869	210.3294	103.7581
PI601009xAmes27187	5.815	68.5878	66.7267	230.0697	103.7762
PI601322xAmes26785	6.3712	67.7568	66.0474	232.5211	103.7804
PI601009xAmes23463	6.9692	64.7539	63.3188	210.1728	103.7829
PI601009xPI594076	6.4235	68.642	66.7859	225.3579	103.8303
PI601322xAmes27137	8.9115	68.5012	64.9245	225.2766	103.8445
PI601322xPI601439	6.3086	66.1734	64.7544	239.1434	103.8914
PI601322xPI601610	6.8793	65.9254	64.6558	232.4277	103.8996
PI601009xAmes23424	6.3078	65.0598	62.7373	220.15	103.9008
PI601009xB14A	6.7213	68.0555	66.1963	222.9964	104.0325
PI601009xPI560081	6.5055	68.6994	66.2918	197.4777	104.1034
PI601009xAmes27134	6.7307	70.8864	70.0246	220.7104	104.1207
PI601009xPI587150	6.8541	67.6595	66.3936	216.495	104.1447
PI601009xAmes27167	6.4963	68.5561	67.7586	223.6061	104.1772
PI601322xAmes23477	6.2449	65.3551	63.2538	225.7438	104.2609
PI601009xAmes26801	6.7637	67.4914	66.2979	209.9556	104.302
PI601009xPI597578	7.8964	67.1332	66.1262	217.6051	104.3185
PI601009xPI594080	6.9705	67.9153	65.3833	219.8802	104.3476
PI601009xAmes23409	8.2889	65.784	63.5737	215.052	104.3785
PI601009xPI550546	6.8532	70.2769	68.3423	223.0282	104.4085
PI601009xPI186229	5.8062	66.6923	64.8296	211.1776	104.4349
PI601322xPI601778	6.1017	67.0482	64.5654	235.3826	104.4423
PI601009xNSL437976	6.3177	68.2869	66.7571	214.8433	104.4713
PI601322xI205	6.3087	68.409	65.8782	227.3468	104.5098
PI601009xAmes28932	7.4445	68.5933	67.2593	218.7631	104.5191
PI601009xAmes26120	6.6522	67.2673	65.5088	214.4014	104.5447
PI601322xPI601009	7.0741	66.4374	64.8903	232.3499	104.5748
PI601009xA239	6.1687	66.3902	64.9435	212.3157	104.5886
PI601322xPI601377	6.7655	65.7356	64.0638	224.8154	104.6397
PI601322xNSL30053	5.5529	69.4007	65.3537	224.189	104.6741
PI601322xAmes23465	7.0417	67.1389	64.575	231.5708	104.6769
PI601009xB79	6.7877	68.2758	67.1608	204.942	104.7185
PI601009xPI594049	6.3568	66.5342	65.3371	223.0837	104.7253
PI601009xNSL30901	6.3549	68.6388	67.2409	217.633	104.7323
PI601322xPI594084	-999	67.8962	65.9334	214.6996	104.7425
PI601009xPI601322	7.2084	66.9627	65.322	233.8549	104.7475
PI601009xAmes26803	7.3121	67.5681	65.3892	213.6249	104.7792
PI601009xNSL30898	6.8594	69.5302	66.8978	232.1096	104.8298
PI601009xPI572413	6.6046	67.6672	66.5999	225.8629	104.918
PI601009xPI506413	6.0703	65.985	63.9405	212.0778	104.9508
PI601009xPI198895	7.2957	66.7236	64.9118	214.6747	104.9518
PI601009xPI592734	6.3953	68.0709	66.5945	209.248	104.9614
PI601009xPI340856	4.7795	67.8728	66.0838	201.7579	104.9896
PI601009xPI601470	6.803	71.1111	68.7068	217.2565	105.0407
PI601009xAmes27160	6.0722	67.7865	66.9883	220.3537	105.0788
PI601009xNSL30071	5.8978	66.0665	64.0101	224.3638	105.1127
PI601009xPI639939	7.0284	68.5775	67.5071	219.6132	105.1149
PI601322xPI604606	6.8857	68.9192	64.5506	229.7419	105.1785
PI601009xNSL437935	7.1415	69.0519	67.2066	227.1038	105.2397
PI601009xAmes20137	6.1967	68.3853	66.8197	242.9159	105.2494
PI601009xPI221811	6.4107	66.9032	65.5357	214.8526	105.3465
PI601009xAmes27097	7.0856	69.1269	66.5906	222.0088	105.3794
PI601009xNSL42872	6.4516	64.1191	62.7486	212.0295	105.4157
PI601009xPI601612	6.7905	66.7369	65.0797	221.756	105.4167
PI601009xAmes28425	6.3892	69.3433	67.5082	225.8686	105.4227
PI601322xAmes12824	6.1205	67.0161	65.0388	230.5182	105.4258
PI601322xPI601007	6.5598	66.2001	64.5581	223.0335	105.4305
PI601009xAmes14115	7.4455	67.1746	65.7449	215.6978	105.4347
PI601322xPI594088	6.7822	67.6075	65.8081	227.9616	105.4626
PI601009xAmes27178	7.209	68.5665	67.7507	220.0187	105.4698
PI601009xNSL437930	7.0684	67.5907	66.2264	217.3252	105.4845
PI601322xPI601775	6.6479	66.5607	64.5552	231.7495	105.5536
PI601009xNSL30067	6.3534	67.2692	64.9401	218.6697	105.6405
PI601009xAmes19008	7.2435	68.5964	66.3984	223.7795	105.7174
PI601009xAmes23457	6.1349	67.38	64.7033	235.5523	105.7586
PI601009xPI638551	7.3417	67.6832	66.4487	216.5413	105.7665
PI601009xPI600955	7.1068	67.63	66.2008	214.5898	105.8308
PI601009xPI553063	5.9007	66.5985	64.4905	231.7267	105.8497
PI601322xPI592741	7.2356	69.4127	67.4475	221.726	105.8813
PI601322xPI340862	4.859	67.6387	64.5585	213.0094	105.9033
PI601009xPI600956	6.666	67.5697	66.7355	214.588	105.9147
PI601009xPI607523	7.001	67.4304	65.3926	212.137	105.9973
PI601009xAmes26747	6.2064	67.5745	65.4986	200.8535	106.0212
PI601009xPI601171	6.9553	67.1632	66.0067	222.0321	106.0607
PI601009xPI601079	7.2564	68.1461	67.6235	229.7202	106.0767
PI601009xPI506246	-999	71.0903	70.2937	207.8475	106.1129
PI601009xNSL30879	5.7882	69.1579	67.5291	228.8288	106.1585
PI601009xA680	6.692	67.9871	66.2852	224.5602	106.1616
PI601009xPI648432	7.6172	67.7551	65.398	221.2567	106.1915
PI601009xPI601686	7.1569	68.4523	66.3921	211.3172	106.301
PI601009xAmes26138	6.5266	68.5609	66.4688	208.9383	106.3204
PI601322xPI601300	7.3139	64.9976	63.7394	237.8925	106.3486
PI601322xCIze40	6.144	67.957	65.4837	242.7777	106.3606
PI601322xA635	6.1736	66.4983	63.8095	220.4553	106.3634
PI601009xPI560074	7.3235	67.3884	66.6058	221.7537	106.3769
PI601322xAmes27066	5.8642	67.9365	65.2231	230.8719	106.4026
PI601322xPI594091	8.9229	68.2006	66.3898	236.5463	106.4216
PI601322xPI553055	-999	65.6476	64.0051	235.7419	106.4728
PI601009xPI340847	4.7754	67.1142	65.3024	218.2065	106.508
PI601009xPI267165	5.0324	65.6957	63.6444	228.1047	106.5355
PI601322xAmes23428	6.144	66.7611	64.1362	228.5206	106.6035
PI601009xNSL437920	7.5982	69.0121	66.3853	222.1749	106.7306
PI601009xAmes12822	5.8364	67.3378	66.986	210.4538	106.7564
PI601009xPI186188	6.1723	66.9305	64.4802	221.2348	106.8129
PI601009xNSL30908	5.9143	68.1868	66.6131	210.6496	106.8533
PI601009xAmes27177	7.2259	70.4033	68.413	235.0146	106.926
PI601009xMo18W	7.0025	72.7757	69.8937	224.5829	106.9304
PI601009xAmes23474	6.2168	65.1704	63.8712	209.8754	107.0277
PI601009xPI550503	-999	66.1454	63.0432	222.3108	107.0353
PI601322xEP42	5.6424	63.9006	62.1235	216.6818	107.1075
PI601322xPI594087	6.8097	67.6564	65.7225	235.0973	107.1452
PI601322xPI594082	6.9571	67.9735	65.9094	231.8367	107.1503
PI601009xNSL437923	7.5467	68.1408	65.6762	218.9349	107.2277
PI601009xPI540745	7.0145	72.6866	68.9072	239.1063	107.2891
PI601322xN192	6.886	65.5559	64.1125	228.2553	107.3187
PI601009xAmes26748	6.5586	67.3772	65.9677	222.5334	107.4266
PI601322xPI340857	5.4327	66.3257	63.9793	225.6906	107.4301
PI601322xPI539924	6.5531	66.8028	64.3718	233.0036	107.4357
PI601322xPI587150	5.5753	68.1781	66.1426	232.6109	107.4572
PI601009xPI601440	7.0725	67.9359	66.5173	227.2809	107.5637
PI601009xAmes23413	6.6642	65.9365	64.9379	211.7843	107.6015
PI601009xAmes27185	7.2222	68.1386	66.3127	227.9709	107.7002
PI601322xPI638551	7.0605	68.8995	66.6634	231.6927	107.7841
PI601322xNSL437908	6.6976	71.1014	67.9971	232.8039	107.7917
PI601322xPI538239	5.6449	66.0348	63.7399	226.0074	107.7918
PI601009xPI553060	3.3939	65.9135	63.7236	216.0073	107.799
PI601009xAmes29023	4.7196	67.8932	66.4848	218.5495	107.8114
PI601009xAmes19323	6.7087	70.1733	68.2869	222.2417	107.8224
PI601009xNSL22983	6.5977	68.0157	65.5497	234.1427	107.8967
PI601322xAmes19284	-999	72.0989	67.4231	232.155	107.9045
PI601322xAmes26803	6.8089	69.7071	65.7067	226.7529	107.9115
PI601322xPI550503	6.7953	66.9196	63.6193	221.3596	107.9409
PI601322xPI596506	5.3366	66.1674	64.0596	237.5774	107.9526
PI601322xAmes27138	7.4437	69.0793	66.8682	225.5545	107.953
PI601009xOh603	5.9547	68.0029	66.4406	225.8787	107.9583
PI601009xAmes29030	5.7902	66.0246	64.4405	222.7094	108.0221
PI601322xPI594050	7.1233	67.6316	65.0496	232.5888	108.1307
PI601322xMo17	6.4169	68.4726	64.6941	226.5089	108.1422
PI601009xNSL67792	6.5729	69.0298	66.6205	222.7804	108.1807
PI601009xAmes24705	6.2451	66.6645	64.4363	218.9804	108.1992
PI601009xPI550517	7.4344	69.447	68.0215	233.8644	108.2207
PI601322xPI601572	6.6152	67.487	65.5765	232.2247	108.2598
PI601322xPI607525	5.9906	65.2133	63.4942	222.2358	108.2955
PI601009x38-11	5.2679	70.4066	68.7998	223.3169	108.3182
PI601322xPI600954	7.6559	67.2342	65.0656	237.8081	108.3552
PI601322xPI601784	7.8197	67.0226	64.701	237.8648	108.3733
PI601009xAmes24713	5.9001	66.5688	64.433	220.727	108.5032
PI601009xNSL65872	6.37	66.5067	64.6732	232.4074	108.5966
PI601322xEP76	6.3417	66.6931	64.6359	234.891	108.6312
PI601322xNSL30903	6.1783	68.6081	64.9475	225.3604	108.6313
PI601322xNSL81596	5.6513	68.1082	64.7098	226.4774	108.6672
PI601009xPI340861	5.031	69.5371	66.0057	218.4194	108.7144
PI601009xPI531082	6.6963	65.1781	64.3509	217.5131	108.7826
PI601322xAmes23504	6.9504	66.2278	63.8895	232.1548	108.8121
PI601322xPI607527	4.8415	65.1629	63.0448	233.587	108.8152
PI601322xAmes27051	6.7736	68.7223	65.1771	216.7651	108.86
PI601009xAmes2331	6.3603	64.5285	62.9317	210.1099	108.9084
PI601322xPI600772	6.633	67.2084	64.795	229.081	108.9261
PI601322xPI601575	8.025	68.227	65.9375	229.1471	108.941
PI601322xAmes26758	7.0824	68.7173	65.1078	236.977	108.9492
PI601009xAmes24749	5.3789	69.8636	66.1732	224.0639	108.9532
PI601322xAmes23410	6.5848	67.9102	64.578	234.3705	109.0205
PI601322xNSL22635	6.9225	69.1097	65.7417	236.1142	109.1046
PI601322xPI340853	5.3741	68.4871	63.9402	227.4288	109.1106
PI601322xPI601745	6.5849	67.8558	65.4988	218.632	109.1547
PI601322xPI594070	7.2513	67.7206	65.1354	244.3704	109.2044
PI601322xPI340858	4.6882	68.2775	66.1731	246.9387	109.2074
PI601322xPI594052	7.3986	68.2865	65.5729	238.1845	109.2173
PI601322xPI601159	6.6136	68.5164	65.6122	229.0092	109.2716
PI601322xNSL30883	5.7908	68.0194	65.5924	223.6438	109.2968
PI601322xNSL437907	7.1088	66.9271	65.1552	236.4622	109.3782
PI601322xPI509542	7.217	70.1749	66.4758	236.1005	109.3936
PI601009xPI559918	6.1148	68.1216	65.987	217.3056	109.398
PI601322xNSL65874	6.4915	68.7267	65.6745	237.6007	109.4184
PI601009xNSL437967	7.35	67.787	65.9041	221.5866	109.4297
PI601322xNSL437903	6.4703	67.4245	64.7059	226.4031	109.4311
PI601009xAmes27079	7.133	71.4404	69.0572	219.193	109.5348
PI601009xAmes27151	6.1898	67.0808	66.2574	225.9475	109.5643
PI601322xAmes27184	6.7528	66.5826	64.7845	233.7485	109.5903
PI601322xEP72	5.2453	69.2251	65.988	226.4675	109.5984
PI601322xPI601004	8.0352	67.8499	65.977	232.0951	109.6066
PI601322xMo46	6.4926	69.1506	65.9445	233.1196	109.6654
PI601009xAmes26780	6.8447	67.6212	65.623	223.0922	109.7631
PI601009xAmes27096	6.7326	71.8357	70.8604	228.9796	109.8007
PI601322xAmes24751	6.6232	66.998	64.7155	232.5223	109.8117
PI601322xAmes27118	3.924	66.4688	63.7236	246.2473	109.8429
PI601322xAmes19283	7.1784	67.8764	66.2086	239.2861	109.8717
PI601322xNSL438007	6.6219	68.8691	66.4744	236.1352	109.8898
PI601009xNSL29317	5.9314	68.5966	66.7448	211.5495	109.9213
PI601322xPI601402	5.8384	66.6738	63.7431	239.7521	109.944
PI601322xPI340813	5.9444	67.7479	65.6318	224.598	109.9718
PI601322xPI539927	7.2429	67.4371	65.8693	224.8919	109.9937
PI601322xPI594056	6.7307	67.8353	64.814	241.398	109.9957
PI601322xB57	6.8336	69.613	65.671	225.414	110.0579
PI601009xPI221820	5.2243	68.4942	66.1911	238.3871	110.1039
PI601009xAmes29027	5.083	67.2083	66.4011	206.3607	110.1115
PI601322xEP65	7.0771	66.9862	63.9832	216.7711	110.1628
PI601322xEP44	5.6448	67.7619	65.1802	215.6059	110.1862
PI601322xB105	4.9464	68.8786	66.5358	247.4757	110.2099
PI601322xPI634215	6.77	67.941	65.7726	230.2493	110.2996
PI601009xNSL67798	6.7069	69.1459	67.1909	233.936	110.3156
PI601009xAmes26793	6.3091	68.7457	67.0689	225.7348	110.3239
PI601322xA634	7.0962	67.3202	65.2986	229.7056	110.3259
PI601009xAmes28938	8.3216	69.5044	66.9516	225.1703	110.3518
PI601009xAmes26129	6.032	68.7031	66.0826	234.6823	110.388
PI601009xAmes27083	6.7626	70.5871	68.7651	229.2901	110.4673
PI601009xMo45	6.7262	67.8866	66.4572	225.7058	110.4689
PI601009xNSL75979	5.0183	68.3297	66.5012	230.1417	110.4751
PI601009xCIze45	7.0944	68.2773	66.5364	226.1259	110.4914
PI601009xPI406128	6.2146	68.5569	65.9003	226.5373	110.5106
PI601322xPI600958	6.4025	66.6929	65.0581	239.1045	110.5269
PI601322xAmes23466	6.8279	66.4391	64.3813	230.4764	110.5359
PI601009xPI633840	6.8896	68.4764	66.7303	221.8343	110.5397
PI601009xPI550522	6.6617	71.0508	67.8146	237.0354	110.5402
PI601009xAmes26132	7.06	68.6123	66.288	226.5377	110.5584
PI601009xPI592735	6.6283	68.8323	66.5751	228.767	110.6004
PI601322xAmes28360	7.2131	68.9857	65.9778	238.0322	110.6206
PI601322xPI601790	6.8251	65.8587	64.2889	240.0127	110.6386
PI601009xAmes27130	6.1178	72.5587	70.3102	221.1755	110.7461
PI601009xNSL29284	6.6703	68.0123	66.0175	214.5991	110.7476
PI601322xPI601171	7.484	67.4196	64.9566	232.9892	110.7726
PI601322xAmes12815	7.0467	68.5884	65.9456	222.8941	110.7974
PI601322xPI601564	7.2254	70.5085	67.7524	228.5676	110.85
PI601322xH105W	6.319	67.3855	65.1056	225.9082	110.9381
PI601322xPI594089	7.1012	67.3903	65.3314	233.137	110.9569
PI601322xB104	7.4967	68.9904	65.773	234.4607	110.9965
PI601322xPI596499	5.8192	67.8989	63.8547	252.9278	110.9984
PI601322xPI601583	6.9322	65.4102	63.519	227.2022	111.003
PI601009xPI542716	5.6999	68.8267	66.2744	220.9185	111.0287
PI601009xNSL437925	7.2462	69.3843	66.7506	227.6829	111.069
PI601009xPI303939	6.0563	66.5572	63.807	218.396	111.106
PI601322xAmes26022	6.1021	68.6517	66.2518	234.6806	111.1259
PI601322xNSL438031	6.1975	67.6779	65.8119	236.6893	111.1304
PI601322xPI594085	6.4984	68.3293	66.6486	238.0435	111.2735
PI601322xPI594074	6.2053	67.8266	64.9515	230.7488	111.2755
PI601009xPI506247	7.7758	71.0787	69.2296	246.955	111.2806
PI601322xAmes19293	6.1286	68.8329	66.2155	235.1155	111.2832
PI601009xAmes19327	6.4842	71.1511	68.765	230.8944	111.2918
PI601322xPI601150	6.1797	66.4454	64.7658	228.2357	111.3068
PI601322xB46	7.0241	69.0337	66.0961	237.715	111.3122
PI601322xA679	7.2386	66.0733	64.1744	233.9114	111.3369
PI601322xPI340868	4.468	67.2879	64.3535	213.8026	111.3476
PI601322xNSL438023	5.3828	70.9548	67.7732	226.9974	111.4503
PI601322xAmes27450	6.0351	66.6713	64.5098	233.5478	111.492
PI601322xPI594059	6.3734	69.1306	66.0177	230.3872	111.5942
PI601009xAmes26753	5.2748	67.0794	64.7739	226.2035	111.6016
PI601322xNSL42875	6.4691	66.5167	64.0173	236.2583	111.6337
PI601009xPI550534	6.6149	71.51	68.9123	229.5263	111.6607
PI601322xNSL438009	7.0461	69.7216	67.1942	238.3763	111.6773
PI601009xPI641226	6.9243	69.9563	67.5196	225.9858	111.6925
PI601322xAmes26756	5.359	68.1202	64.7009	233.0499	111.7129
PI601009xPI561533	6.7293	68.2123	65.6449	227.6504	111.7256
PI601009xAmes27124	5.9344	74.1836	70.3786	217.1562	111.734
PI601009xPI595569	3.8424	70.9307	69.4731	232.2541	111.856
PI601322xAmes27089	7.1653	70.9179	68.9775	227.0316	111.9063
PI601009xCML247	6.4505	74.884	72.2574	226.6934	111.9419
PI601322xPI648424	6.1201	67.8046	64.943	240.9507	111.9507
