Taxon,Prefixed_Taxon,Dataset,Species,Category,Alt Name,Coverage
B394,B394,CAU, Z. mays spp. Mays, Improved,,1.05099713
B4,B4,CAU, Z. mays spp. Mays, Improved,,0.718045391
B47,B47,CAU, Z. mays spp. Mays, Improved,,0.722807478
B68,B68,CAU, Z. mays spp. Mays, Improved,,0.592975826
B7,B7,CAU, Z. mays spp. Mays, Improved,,0.611904653
B73,B73,CAU, Z. mays spp. Mays, Improved,,5.505440957
B76,B76,CAU, Z. mays spp. Mays, Improved,,1.934110348
B8,B8,CAU, Z. mays spp. Mays, Improved,,0.808971208
B95,B95,CAU, Z. mays spp. Mays, Improved,,3.613985304
B97,B97,CAU, Z. mays spp. Mays, Improved,,0.756878087
B98,B98,CAU, Z. mays spp. Mays, Improved,,2.617907913
bai197,bai197,CAU, Z. mays spp. Mays, Improved,,1.70661287
baihe43,baihe43,CAU, Z. mays spp. Mays, Improved,,0.800018453
baiU8112,baiU8112,CAU, Z. mays spp. Mays, Improved,,0.596944955
bao3040,bao3040,CAU, Z. mays spp. Mays, Improved,,1.233676435
BC4B,BC4B,CAU, Z. mays spp. Mays, Improved,,1.737298348
BCC03,BCC03,CAU, Z. mays spp. Mays, Improved,,2.037303391
Beck,Beck,CAU, Z. mays spp. Mays, Improved,,1.06828913
ben7884,ben7884,CAU, Z. mays spp. Mays, Improved,,1.166681478
BM,BM,CAU, Z. mays spp. Mays, Improved,,0.957451739
BS110,BS110,CAU, Z. mays spp. Mays, Improved,,0.67532913
BT1,BT1,CAU, Z. mays spp. Mays, Improved,,2.058146957
C103,C103,CAU, Z. mays spp. Mays, Improved,,2.682603043
C13,C13,CAU, Z. mays spp. Mays, Improved,,1.816355565
C166,C166,CAU, Z. mays spp. Mays, Improved,,1.718609677
C521,C521,CAU, Z. mays spp. Mays, Improved,,2.817964609
C8605-2,C8605-2,CAU, Z. mays spp. Mays, Improved,,1.670874261
cai11-8,cai11-8,CAU, Z. mays spp. Mays, Improved,,0.636422605
CAU478,CAU478,CAU, Z. mays spp. Mays, Improved,,26.53386739
CAU5003,CAU5003,CAU, Z. mays spp. Mays, Improved,,26.89394261
CAUCHANG72,CAUCHANG72,CAU, Z. mays spp. Mays, Improved,,28.38799687
CAUZHENG58,CAUZHENG58,CAU, Z. mays spp. Mays, Improved,,27.28138261
chang3,chang3,CAU, Z. mays spp. Mays, Improved,,1.465400986
chang69,chang69,CAU, Z. mays spp. Mays, Improved,,1.872575565
chang72,chang72,CAU, Z. mays spp. Mays, Improved,,1.519579739
chang7daxian1,chang7daxian1,CAU, Z. mays spp. Mays, Improved,,1.579212087
changD,changD,CAU, Z. mays spp. Mays, Improved,,1.741346696
changK,changK,CAU, Z. mays spp. Mays, Improved,,4.12599487
chaoxianbai,chaoxianbai,CAU, Z. mays spp. Mays, Improved,,1.228678437
chen322,chen322,CAU, Z. mays spp. Mays, Improved,,0.985284261
cheng18,cheng18,CAU, Z. mays spp. Mays, Improved,,2.142288522
cheng435,cheng435,CAU, Z. mays spp. Mays, Improved,,1.860407043
cheng698-3,cheng698-3,CAU, Z. mays spp. Mays, Improved,,1.965415826
chengzi108,chengzi108,CAU, Z. mays spp. Mays, Improved,,1.963742261
chengzi2142,chengzi2142,CAU, Z. mays spp. Mays, Improved,,2.38115
chi545,chi545,CAU, Z. mays spp. Mays, Improved,,1.55927487
chihuang14,chihuang14,CAU, Z. mays spp. Mays, Improved,,1.270750119
chihuang32,chihuang32,CAU, Z. mays spp. Mays, Improved,,0.763783342
chong72,chong72,CAU, Z. mays spp. Mays, Improved,,0.724962
CM105,CM105,CAU, Z. mays spp. Mays, Improved,,1.538662087
CML125-2pianma,CML125-2pianma,CAU, Z. mays spp. Mays, Improved,,2.198097826
CML58,CML58,CAU, Z. mays spp. Mays, Improved,,1.864780174
CN104,CN104,CAU, Z. mays spp. Mays, Improved,,0.708865739
CN165,CN165,CAU, Z. mays spp. Mays, Improved,,0.911391241
Co109,Co109,CAU, Z. mays spp. Mays, Improved,,0.665417304
CR14,CR14,CAU, Z. mays spp. Mays, Improved,,0.870420261
CR1HT,CR1HT,CAU, Z. mays spp. Mays, Improved,,0.96809513
CT109,CT109,CAU, Z. mays spp. Mays, Improved,,1.066558348
CT52C,CT52C,CAU, Z. mays spp. Mays, Improved,,4.296716
Cwu215B,Cwu215B,CAU, Z. mays spp. Mays, Improved,,1.640401304
D1049,D1049,CAU, Z. mays spp. Mays, Improved,,2.267568087
D1051,D1051,CAU, Z. mays spp. Mays, Improved,,0.729949043
D1139,D1139,CAU, Z. mays spp. Mays, Improved,,3.355222435
d140,d140,CAU, Z. mays spp. Mays, Improved,,1.265162261
D15,D15,CAU, Z. mays spp. Mays, Improved,,2.333702696
D20,D20,CAU, Z. mays spp. Mays, Improved,,1.653004174
D23,D23,CAU, Z. mays spp. Mays, Improved,,1.931572568
D33A,D33A,CAU, Z. mays spp. Mays, Improved,,1.234731913
D340,D340,CAU, Z. mays spp. Mays, Improved,,5.750411652
D619,D619,CAU, Z. mays spp. Mays, Improved,,0.823384174
D729,D729,CAU, Z. mays spp. Mays, Improved,,2.121360174
D801,D801,CAU, Z. mays spp. Mays, Improved,,1.577298174
D854,D854,CAU, Z. mays spp. Mays, Improved,,0.652009043
D856,D856,CAU, Z. mays spp. Mays, Improved,,1.690277652
D857,D857,CAU, Z. mays spp. Mays, Improved,,2.293677739
D864,D864,CAU, Z. mays spp. Mays, Improved,,2.336555565
D869,D869,CAU, Z. mays spp. Mays, Improved,,1.06751087
D88,D88,CAU, Z. mays spp. Mays, Improved,,1.197722
D881,D881,CAU, Z. mays spp. Mays, Improved,,0.764643857
D883,D883,CAU, Z. mays spp. Mays, Improved,,1.772914087
D886,D886,CAU, Z. mays spp. Mays, Improved,,0.919246522
D892,D892,CAU, Z. mays spp. Mays, Improved,,0.958448435
D978,D978,CAU, Z. mays spp. Mays, Improved,,0.779243217
da255,da255,CAU, Z. mays spp. Mays, Improved,,1.560261043
dai6,dai6,CAU, Z. mays spp. Mays, Improved,,1.360013913
daMO,daMO,CAU, Z. mays spp. Mays, Improved,,0.623313892
dan3115,dan3115,CAU, Z. mays spp. Mays, Improved,,1.672046087
dan340,dan340,CAU, Z. mays spp. Mays, Improved,,8.991502087
dan598,dan598,CAU, Z. mays spp. Mays, Improved,,1.450257913
dan599,dan599,CAU, Z. mays spp. Mays, Improved,,4.661209043
dan9046,dan9046,CAU, Z. mays spp. Mays, Improved,,4.810964783
dan9064,dan9064,CAU, Z. mays spp. Mays, Improved,,2.146468
danhuang02,danhuang02,CAU, Z. mays spp. Mays, Improved,,3.058067217
daqing133,daqing133,CAU, Z. mays spp. Mays, Improved,,1.388319037
De811,De811,CAU, Z. mays spp. Mays, Improved,,0.680475468
DF20,DF20,CAU, Z. mays spp. Mays, Improved,,1.990675739
DF24,DF24,CAU, Z. mays spp. Mays, Improved,,1.578397391
DF27,DF27,CAU, Z. mays spp. Mays, Improved,,1.829911913
DF32,DF32,CAU, Z. mays spp. Mays, Improved,,0.665950438
DH138,DH138,CAU, Z. mays spp. Mays, Improved,,1.57015713
DH149,DH149,CAU, Z. mays spp. Mays, Improved,,1.227676696
DH40,DH40,CAU, Z. mays spp. Mays, Improved,,1.767591478
DH65232,DH65232,CAU, Z. mays spp. Mays, Improved,,1.842357304
DH65232-DH9,DH65232-DH9,CAU, Z. mays spp. Mays, Improved,,1.362498261
DJ7,DJ7,CAU, Z. mays spp. Mays, Improved,,0.632410435
DM07,DM07,CAU, Z. mays spp. Mays, Improved,,1.932232261
DM101B,DM101B,CAU, Z. mays spp. Mays, Improved,,2.623920522
dong327,dong327,CAU, Z. mays spp. Mays, Improved,,0.867935478
dupl-178,dupl-178,CAU, Z. mays spp. Mays, Improved,,4.97593215
dupl-478,dupl-478,CAU, Z. mays spp. Mays, Improved,,3.519697877
dupl-5003,dupl-5003,CAU, Z. mays spp. Mays, Improved,,2.188551816
dupl-Zheng58,dupl-Zheng58,CAU, Z. mays spp. Mays, Improved,,2.767618869
duzi,duzi,CAU, Z. mays spp. Mays, Improved,,1.41176113
E200,E200,CAU, Z. mays spp. Mays, Improved,,2.047639478
e220,e220,CAU, Z. mays spp. Mays, Improved,,1.788939826
E28,E28,CAU, Z. mays spp. Mays, Improved,,0.67864324
E588,E588,CAU, Z. mays spp. Mays, Improved,,0.875657792
E600,E600,CAU, Z. mays spp. Mays, Improved,,0.589331826
E601,E601,CAU, Z. mays spp. Mays, Improved,,1.132894604
E8501,E8501,CAU, Z. mays spp. Mays, Improved,,1.179929826
equn3,equn3,CAU, Z. mays spp. Mays, Improved,,2.173545043
equn4,equn4,CAU, Z. mays spp. Mays, Improved,,1.158433391
ernan24,ernan24,CAU, Z. mays spp. Mays, Improved,,2.219227739
ES40,ES40,CAU, Z. mays spp. Mays, Improved,,2.899572261
F42,F42,CAU, Z. mays spp. Mays, Improved,,0.671781826
F7,F7,CAU, Z. mays spp. Mays, Improved,,4.15267885
F7584,F7584,CAU, Z. mays spp. Mays, Improved,,0.942521565
F939,F939,CAU, Z. mays spp. Mays, Improved,,2.025489565
fangyin,fangyin,CAU, Z. mays spp. Mays, Improved,,2.104172261
fanrong2,fanrong2,CAU, Z. mays spp. Mays, Improved,,1.990404261
FAP1360A,FAP1360A,CAU, Z. mays spp. Mays, Improved,,1.033688087
FAPW,FAPW,CAU, Z. mays spp. Mays, Improved,,0.600689565
FBHJ,FBHJ,CAU, Z. mays spp. Mays, Improved,,0.684114348
FC-13,FC-13,CAU, Z. mays spp. Mays, Improved,,1.003012996
Feb-48,Feb-48,CAU, Z. mays spp. Mays, Improved,,2.073440242
fengke1,fengke1,CAU, Z. mays spp. Mays, Improved,,0.738154609
FR14,FR14,CAU, Z. mays spp. Mays, Improved,,2.197990435
fu8521,fu8521,CAU, Z. mays spp. Mays, Improved,,1.018542
fu8527,fu8527,CAU, Z. mays spp. Mays, Improved,,1.126249304
fu8529,fu8529,CAU, Z. mays spp. Mays, Improved,,1.064357478
fu8538,fu8538,CAU, Z. mays spp. Mays, Improved,,1.545017391
fu8701,fu8701,CAU, Z. mays spp. Mays, Improved,,0.9122825
fu96,fu96,CAU, Z. mays spp. Mays, Improved,,0.702472435
fusheA,fusheA,CAU, Z. mays spp. Mays, Improved,,2.149187913
gan41,gan41,CAU, Z. mays spp. Mays, Improved,,1.486217478
GN4095,GN4095,CAU, Z. mays spp. Mays, Improved,,2.237955304
guan17-1,guan17-1,CAU, Z. mays spp. Mays, Improved,,0.580593739
guangyou5,guangyou5,CAU, Z. mays spp. Mays, Improved,,1.211032508
GY3,GY3,CAU, Z. mays spp. Mays, Improved,,1.985084783
H105W,H105W,CAU, Z. mays spp. Mays, Improved,,0.963202345
H114,H114,CAU, Z. mays spp. Mays, Improved,,1.66250913
H127,H127,CAU, Z. mays spp. Mays, Improved,,5.406360174
H2,H2,CAU, Z. mays spp. Mays, Improved,,0.611041391
H21,H21,CAU, Z. mays spp. Mays, Improved,,2.622925304
H66-6,H66-6,CAU, Z. mays spp. Mays, Improved,,1.709911739
H84,H84,CAU, Z. mays spp. Mays, Improved,,0.747345391
H8431,H8431,CAU, Z. mays spp. Mays, Improved,,0.852713391
H99,H99,CAU, Z. mays spp. Mays, Improved,,1.459009217
hai014,hai014,CAU, Z. mays spp. Mays, Improved,,1.281949217
hai1134,hai1134,CAU, Z. mays spp. Mays, Improved,,1.863934696
hai9-21,hai9-21,CAU, Z. mays spp. Mays, Improved,,1.061982957
han21,han21,CAU, Z. mays spp. Mays, Improved,,1.242352344
han49,han49,CAU, Z. mays spp. Mays, Improved,,1.014149826
HB8229,HB8229,CAU, Z. mays spp. Mays, Improved,,0.860320609
HBAI,HBAI,CAU, Z. mays spp. Mays, Improved,,0.570050522
HD568,HD568,CAU, Z. mays spp. Mays, Improved,,1.138784783
Hda-5,Hda-5,CAU, Z. mays spp. Mays, Improved,,0.963900435
he344,he344,CAU, Z. mays spp. Mays, Improved,,0.953180174
HHe01,HHe01,CAU, Z. mays spp. Mays, Improved,,2.357324261
HP301,HP301,CAU, Z. mays spp. Mays, Improved,,1.089338606
hu803,hu803,CAU, Z. mays spp. Mays, Improved,,1.341591652
hua160,hua160,CAU, Z. mays spp. Mays, Improved,,0.630158522
huangC,huangC,CAU, Z. mays spp. Mays, Improved,,2.499856174
huangchanga,huangchanga,CAU, Z. mays spp. Mays, Improved,,1.560650261
huangchangb,huangchangb,CAU, Z. mays spp. Mays, Improved,,1.557547043
huangyesi,huangyesi,CAU, Z. mays spp. Mays, Improved,,1.628897085
huangyesi3,huangyesi3,CAU, Z. mays spp. Mays, Improved,,2.381026261
huangzaosi,huangzaosi,CAU, Z. mays spp. Mays, Improved,,8.30902113
huo17,huo17,CAU, Z. mays spp. Mays, Improved,,1.266522698
huobai,huobai,CAU, Z. mays spp. Mays, Improved,,1.584844783
huotanghuang,huotanghuang,CAU, Z. mays spp. Mays, Improved,,1.48884179
huotanghuang17,huotanghuang17,CAU, Z. mays spp. Mays, Improved,,2.084499565
IA5125,IA5125,CAU, Z. mays spp. Mays, Improved,,1.518793478
IB014,IB014,CAU, Z. mays spp. Mays, Improved,,0.905467304
IB02,IB02,CAU, Z. mays spp. Mays, Improved,,0.88531687
IBB14,IBB14,CAU, Z. mays spp. Mays, Improved,,0.748996522
IBB15,IBB15,CAU, Z. mays spp. Mays, Improved,,2.63615087
IBC2,IBC2,CAU, Z. mays spp. Mays, Improved,,1.318289217
J8606,J8606,CAU, Z. mays spp. Mays, Improved,,0.878417826
ji4112,ji4112,CAU, Z. mays spp. Mays, Improved,,1.163942435
ji432,ji432,CAU, Z. mays spp. Mays, Improved,,1.921827737
ji434,ji434,CAU, Z. mays spp. Mays, Improved,,1.481828696
ji444,ji444,CAU, Z. mays spp. Mays, Improved,,1.408117043
ji53,ji53,CAU, Z. mays spp. Mays, Improved,,1.969390087
ji533,ji533,CAU, Z. mays spp. Mays, Improved,,0.722691043
ji63,ji63,CAU, Z. mays spp. Mays, Improved,,0.901336261
ji833,ji833,CAU, Z. mays spp. Mays, Improved,,1.694037391
ji846,ji846,CAU, Z. mays spp. Mays, Improved,,2.460626957
ji853,ji853,CAU, Z. mays spp. Mays, Improved,,1.42733913
ji870,ji870,CAU, Z. mays spp. Mays, Improved,,1.781723603
jian1495a,jian1495a,CAU, Z. mays spp. Mays, Improved,,1.168115217
jian1495b,jian1495b,CAU, Z. mays spp. Mays, Improved,,0.894976087
jiao05,jiao05,CAU, Z. mays spp. Mays, Improved,,1.698212783
jiao3,jiao3,CAU, Z. mays spp. Mays, Improved,,0.665424522
jiao51,jiao51,CAU, Z. mays spp. Mays, Improved,,0.934561565
jingnuo2,jingnuo2,CAU, Z. mays spp. Mays, Improved,,2.026143739
jinsui54,jinsui54,CAU, Z. mays spp. Mays, Improved,,1.01487087
jiu138-5,jiu138-5,CAU, Z. mays spp. Mays, Improved,,2.159250281
jiu22,jiu22,CAU, Z. mays spp. Mays, Improved,,1.304533043
jiutai1,jiutai1,CAU, Z. mays spp. Mays, Improved,,1.548351478
K10,K10,CAU, Z. mays spp. Mays, Improved,,0.841122696
K12,K12,CAU, Z. mays spp. Mays, Improved,,2.870872783
K14,K14,CAU, Z. mays spp. Mays, Improved,,1.036097652
K22,K22,CAU, Z. mays spp. Mays, Improved,,2.539371826
K514,K514,CAU, Z. mays spp. Mays, Improved,,1.642761826
KP3130,KP3130,CAU, Z. mays spp. Mays, Improved,,1.929419391
L005,L005,CAU, Z. mays spp. Mays, Improved,,2.239466348
L05-6,L05-6,CAU, Z. mays spp. Mays, Improved,,1.302899478
L061F,L061F,CAU, Z. mays spp. Mays, Improved,,1.674736
L061M,L061M,CAU, Z. mays spp. Mays, Improved,,1.215901565
L069,L069,CAU, Z. mays spp. Mays, Improved,,1.547035739
L-1,L-1,CAU, Z. mays spp. Mays, Improved,,1.03127313
L105,L105,CAU, Z. mays spp. Mays, Improved,,1.506748174
L127,L127,CAU, Z. mays spp. Mays, Improved,,1.203474174
L135,L135,CAU, Z. mays spp. Mays, Improved,,0.708277739
L139,L139,CAU, Z. mays spp. Mays, Improved,,0.886098261
L473,L473,CAU, Z. mays spp. Mays, Improved,,2.491302609
La2-4,La2-4,CAU, Z. mays spp. Mays, Improved,,3.47325
lan766-4-2,lan766-4-2,CAU, Z. mays spp. Mays, Improved,,0.586146174
LD61,LD61,CAU, Z. mays spp. Mays, Improved,,0.85764835
LH1,LH1,CAU, Z. mays spp. Mays, Improved,,1.253188957
LH119,LH119,CAU, Z. mays spp. Mays, Improved,,0.931742174
LH123HT,LH123HT,CAU, Z. mays spp. Mays, Improved,,0.697697826
LH127,LH127,CAU, Z. mays spp. Mays, Improved,,1.661489304
LH128,LH128,CAU, Z. mays spp. Mays, Improved,,2.474604609
LH132,LH132,CAU, Z. mays spp. Mays, Improved,,2.474173565
LH143,LH143,CAU, Z. mays spp. Mays, Improved,,1.96745487
LH145,LH145,CAU, Z. mays spp. Mays, Improved,,0.767546174
LH146HT,LH146HT,CAU, Z. mays spp. Mays, Improved,,0.22691887
LH149,LH149,CAU, Z. mays spp. Mays, Improved,,1.231632348
LH150,LH150,CAU, Z. mays spp. Mays, Improved,,1.684463826
LH156,LH156,CAU, Z. mays spp. Mays, Improved,,2.397918696
LH160,LH160,CAU, Z. mays spp. Mays, Improved,,0.826423913
LH162,LH162,CAU, Z. mays spp. Mays, Improved,,0.98095
LH190,LH190,CAU, Z. mays spp. Mays, Improved,,0.842055652
LH191,LH191,CAU, Z. mays spp. Mays, Improved,,1.488728783
LH192,LH192,CAU, Z. mays spp. Mays, Improved,,1.062668522
LH193,LH193,CAU, Z. mays spp. Mays, Improved,,0.974539043
LH194,LH194,CAU, Z. mays spp. Mays, Improved,,1.407118087
LH196,LH196,CAU, Z. mays spp. Mays, Improved,,0.812125739
LH202,LH202,CAU, Z. mays spp. Mays, Improved,,0.554342
LH205,LH205,CAU, Z. mays spp. Mays, Improved,,1.456858783
LH208,LH208,CAU, Z. mays spp. Mays, Improved,,2.325873913
LH215,LH215,CAU, Z. mays spp. Mays, Improved,,0.595488261
LH220Ht,LH220Ht,CAU, Z. mays spp. Mays, Improved,,0.861437478
LH295,LH295,CAU, Z. mays spp. Mays, Improved,,0.86264513
LH38,LH38,CAU, Z. mays spp. Mays, Improved,,1.420418696
LH39,LH39,CAU, Z. mays spp. Mays, Improved,,2.047951913
LH51,LH51,CAU, Z. mays spp. Mays, Improved,,1.061633739
LH52,LH52,CAU, Z. mays spp. Mays, Improved,,1.199299826
LH54,LH54,CAU, Z. mays spp. Mays, Improved,,1.29291287
